"Villanova","Mt. St. Mary's"
"Wisconsin","Virginia Tech"
"Virginia","UNCW"
"Florida","ETSU"
"SMU","Southern California"
"Baylor","New Mexico St."
"South Carolina","Marquette"
"Duke","Troy"
"Gonzaga","South Dakota St."
"Northwestern","Vanderbilt"
"Notre Dame","Princeton"
"West Virginia","Bucknell"
"Maryland","Xavier"
"Florida","FGCU"
"Saint Mary's (CA)","VCU"
"Arizona","North Dakota"
"Kansas","UC Davis"
"Miami (FL)","Michigan St."
"Iowa St.","Nevada"
"Purdue","Vermont"
"Creighton","Rhode Island"
"Oregon","Iona"
"Michigan","Oklahoma St."
"Louisville","Jacksonville St."
"North Carolina","Texas Southern"
"Arkansas","Seton Hall"
"Minnesota","Middle Tenn."
"Butler","Winthrop"
"Cincinnati","Kansas St."
"UCLA","Kent St."
"Dayton","Wichita St."
"Kentucky","Northern Ky."
"Villanova","Wisconsin"
"Virginia","Florida"
"Southern California","Baylor"
"South Carolina","Duke"
"Gonzaga","Northwestern"
"Notre Dame","West Virginia"
"Xavier","Florida St."
"Saint Mary's (CA)","Arizona"
"Kansas","Michigan St."
"Iowa St.","Purdue"
"Rhode Island","Oregon"
"Michigan","Louisville"
"North Carolina","Arkansas"
"Middle Tenn.","Butler"
"Cincinnati","UCLA"
"Wichita St.","Kentucky"
"Wisconsin","Florida"
"Baylor","South Carolina"
"Gonzaga","West Virginia"
"Xavier","Arizona"
"Kansas","Purdue",
"Oregon","Michigan"
"North Carolina","Butler"
"UCLA","Kentucky"
"Florida","South Carolina"
"Gonzaga","Xavier"
"Kansas","Oregon"
"North Carolina","Kentucky"
"South Carolina","Gonzaga"
"Oregon","North Carolina"
"Gonzaga","North Carolina"
"North Carolina",""
