"Duke","North Dakota St."
"VCU","UCF"
"Mississippi St.","Liberty"
"Virginia Tech","Saint Louis"
"Maryland","Belmont"
"LSU","Yale"
"Louisville","Minnesota"
"Michigan St.","Bradley"
"Gonzaga","Fairleigh Dickinson"
"Syracuse","Baylor"
"Marquette","Murray St."
"Florida St.","Vermont"
"Buffalo","Arizona St."
"Texas Tech","Northern Ky."
"Nevada","Florida"
"Michigan","Montana"
"Virginia","Gardner-Webb"
"Ole Miss","Oklahoma"
"Wisconsin","Oregon"
"Kansas St.","UC Irvine"
"Villanova","Saint Mary's (CA)"
"Purdue","Old Dominion"
"Cincinnati","Iowa"
"Tennessee","Colgate"
"North Carolina","Iona"
"Utah St.","Washington"
"Auburn","New Mexico St."
"Kansas","Northeastern"
"Iowa St.","Ohio St."
"Houston","Georgia St."
"Wofford","Seton Hall"
"Kentucky","Abilene Christian"
"Duke","UCF"
"Liberty","Virginia Tech"
"Maryland","LSU"
"Minnesota","Michigan"
"Gonzaga","Baylor"
"Murray St.","Florida St."
"Buffalo","Texas Tech"
"Florida","Michigan"
"Virginia","Oklahoma",
"Oregon","UC Irvine"
"Villanova","Purdue"
"Iowa","Tennessee"
"North Carolina","Washington"
"Auburn","Kansas"
"Ohio St.","Houston"
"Wofford","Kentucky"
"Duke","Virginia Tech"
"LSU","Michigan St."
"Gonzaga","Florida St."
"Texas Tech","Michigan"
"Virginia","Oregon"
"Villanova","Purdue"
"North Carolina","Auburn"
"Houston","Kentucky"
"Duke","Michigan St."
"Virginia","Purdue"
"Gonzaga","Texas Tech"
"Auburn","Kentucky"
"Michigan St.","Texas Tech"
"Virginia","Auburn"
"Texas Tech","Virginia"
"Virginia",""
