"Gonzaga","Appalachian St."
"Oklahoma","Missouri"
"Creighton","UC Santa Barbara"
"Virginia","Ohio"
"Southern California","Drake"
"Kansas","Eastern Wash."
"Oregon","VCU"
"Iowa","Grand Canyon"
"Michigan","Texas Southern"
"LSU","St. Bonaventure"
"Colorado","Georgetown"
"Florida St.","UNC Greensboro"
"BYU","UCLA"
"Texas","Abilene Christian"
"UConn","Maryland"
"Alabama","Iona"
"Baylor","Hartford"
"North Carolina","Wisconsin"
"Villanova","Winthrop"
"Purdue","North Texas"
"Texas Tech","Utah St."
"Arkansas","Colgate"
"Florida","Virginia Tech"
"Ohio St.","Oral Roberts"
"Illinois","Drexel"
"Loyola Chicago","Georgia Tech"
"Tennessee","Oregon St."
"Oklahoma St.","Liberty"
"San Diego St.","Syracuse"
"West Virginia","Morehead St."
"Clemson","Rutgers"
"Houston","Cleveland St."
"Gonzaga","Oklahoma"
"Creighton","Ohio"
"Southern California","Kansas"
"Oregon","Iowa"
"Michigan","LSU"
"Colorado","Florida St."
"UCLA","Abilene Christian"
"Maryland","Alabama"
"Baylor","Wisconsin"
"Villanova","North Texas"
"Texas Tech","Arkansas"
"Florida","Oral Roberts"
"Illinois","Loyola Chicago"
"Oregon St.","Oklahoma St."
"Syracuse","West Virginia"
"Rutgers","Houston"
"Gonzaga","Creighton"
"Southern California","Oregon"
"Michigan","Florida St."
"UCLA","Alabama"
"Baylor","Villanova"
"Arkansas","Oral Roberts"
"Loyola Chicago","Oregon St."
"Syracuse","Houston"
"Gonzaga","Southern California"
"Baylor","Arkansas"
"Michigan","UCLA"
"Oregon St.","Houston"
"Gonzaga","UCLA"
"Baylor","Houston"
"Gonzaga","Baylor"
"Baylor",""
